PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15
AI;22TI081V;;FLD;2200;A_2000;G.BOX LSS RADIAL BEAR-DE;Yes;ИСТИНА;ЛОЖЬ;;526;ИСТИНА;Float;4-20mA;-40;200;°C;;;;;364;ЛОЖЬ;8294;;None;None;None;None;;;;-100;-100;;;;-XXXXX.X;3.76;21;;05.06;11;7;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;10185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;740_164_1;;;2000;;20LI173_MO;;ЛОЖЬ;ЛОЖЬ;;164;;;;;;;0;;;;1976;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C546_2_B;;;2200;2200;Function block marker;;ЛОЖЬ;ЛОЖЬ;;546;;;;;;;0;;;;4850;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;20HA428A_PA;;COM;2000;A_2000;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;714;;;;;;;0;;;;2158;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;22VSHH086X;;BNS;2200;A_2000;"MAIN MTR VIBR.- NCE ""X""";Yes;ИСТИНА;ЛОЖЬ;;610;;;;;;;;;;;188;ИСТИНА;8843;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;05.04;7;5;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;1451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;295_5;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;295;;;;;;;0;;;;3215;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;22VAH065X;;BNS;2200;A_2000;"MAIN MTR VIBR.- CE ""X""";Yes;ИСТИНА;ЛОЖЬ;;538;;;;;;;;;;;100;ИСТИНА;8844;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;05.03;13;13;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;1402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;595_622_1;;;2200;P-2005S;22TAHH101L2_I;;ЛОЖЬ;ЛОЖЬ;;622;;;;;;;0;;;;5883;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;564_565_2;;;2000;;20HS078B_I;;ЛОЖЬ;ЛОЖЬ;;565;;;;;;;0;;;;1898;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;328_3;;;2000;H-2002;;;ЛОЖЬ;ЛОЖЬ;;328;;;;;;;;100 ms;10;;132;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;644_7;;;2200;P-2012;;;ЛОЖЬ;ЛОЖЬ;;644;;;;;;;;100 ms;10;;788;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;21BALL103_CA;;COM;2100;A_2000;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;256;;;;;;;0;;;;222;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;406_1;;;2000;;;;ЛОЖЬ;ЛОЖЬ;;406;;;;;;;;100 ms;50;;148;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;22TAHH101J_CA;;COM;2200;A_2000;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;592;;;;;;;0;;;;1558;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;ESD_001_5;1087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
