FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
534;FGS_001_2_FLD0534;2000#3 DV 20XV494-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2309;FGS_001_2_FLD2309;FIRE MOS CH-20-3;;;ЛОЖЬ;;Function block;FGS_001_2;;;22.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1649;FGS_001_2_FLD1649;SDOL DIAG Sh10;;;ЛОЖЬ;;Program block;FGS_001_2;;;27.02.2013;;;Sysdtlsmflda;Sysdtlsmflda_fp;
786;FGS_001_2_FLD0786;2000#4 Fire detector 20YT035;;;ЛОЖЬ;;Program block;FGS_001_2;;;03.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
278;FGS_001_2_FLD0278;2000#2 Fire detector 20YT425;;;ЛОЖЬ;;Program block;FGS_001_2;;;02.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
340;FGS_001_2_FLD0340;2000#2 DV 20XV857-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;07.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
968;FGS_001_2_FLD0968;2000#4 Ready to Reset-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;16.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1100;FGS_001_2_FLD1100;CH-20-2 ACK, TEST and RESET;;;ЛОЖЬ;;Program block;FGS_001_2;;;11.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1046;FGS_001_2_FLD1046;CH-20-1 DV 20XV852-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;12.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1036;FGS_001_2_FLD1036;CH-20-1 DV 20XV851-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;12.05.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
297;FGS_001_2_FLD0297;2000#2 FDs voting-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;30.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1305;FGS_001_2_FLD1305;CH-20-4 FIRE MOS ENABLE;;;ЛОЖЬ;;Program block;FGS_001_2;;;13.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1710;FGS_001_2_FLD1710;H-2001-Howlers & Beacons;;;ЛОЖЬ;;Program block;FGS_001_2;;;18.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
586;FGS_001_2_FLD0586;2000#3 DV 58XV088-Sh4;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
205;FGS_001_2_FLD0205;2000#2 FIRE MOS ENABLE;;;ЛОЖЬ;;Program block;FGS_001_2;;;13.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
580;FGS_001_2_FLD0580;2000#3 DV 58XV088-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
