PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;714_716_1;;;;;AREA AH-58-1-FIRE ALARM;;ЛОЖЬ;ЛОЖЬ;;716;;;;;;;0;;;;1155;ЛОЖЬ;0;;;;;;;0=ACTIVATED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41GT002_B2;;COM;;;Bit 2;No;ЛОЖЬ;ЛОЖЬ;;812;;;;;;;0;;;;897;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;1421;;;;;;;;;;;;;;;;
DO;FGS_411_1.41XA396_1;;FSC;;;MCP act. in 4100-FDAP-C,F lamp;Yes;ЛОЖЬ;ЛОЖЬ;;196;;;;;;;0;;;;2302;ЛОЖЬ;0;None;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;FGS_001_1;FGS_411_1;3;;;;
M;2108_9;;;;;;;ЛОЖЬ;ЛОЖЬ;;2108;;;;;;;0;;;;4142;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1612_1_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1612;;;;;;;0;;;;5376;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58HS207A_MODE;;COM;;;MOS MODE;No;ЛОЖЬ;ЛОЖЬ;;2055;;;;;;;0;;;;7369;ЛОЖЬ;0;None;;;;;;1=AUTO;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;2081;;;;;;;;;;;;;;;;
M;C930_5_H;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;930;;;;;;;0;;;;6110;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C2110_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;2110;;;;;;;0;;;;4867;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C194_3;;;;;Compiler marker (256, 79);;ЛОЖЬ;ЛОЖЬ;;194;;;;;;;0;;;;6797;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;198_7;;;;;;;ЛОЖЬ;ЛОЖЬ;;198;;;;;;;0;;;;1037;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
