PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4
M;136_200_1;;;;;1000-04 ALARM;;ЛОЖЬ;ЛОЖЬ;;200;;;;;;;0;;;;2198;ЛОЖЬ;0;;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;300_508_10;;;;;FGS_101_1.10HS241;;ЛОЖЬ;ЛОЖЬ;;508;;;;;;;0;;;;1898;ЛОЖЬ;0;;;;;;;1=ACK;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
M;126_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;126;;;;;;;0;;;;1168;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10GT510_MOC;;COM;;;MO CONFIRM;No;ЛОЖЬ;ЛОЖЬ;;330;;;;;;;0;;;;837;ИСТИНА;52277;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;796
M;C616_4;;;;;Compiler marker (256, 97);;ЛОЖЬ;ЛОЖЬ;;616;;;;;;;0;;;;2603;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10HS037C_B0;;COM;;;Bit 0;No;ЛОЖЬ;ЛОЖЬ;;710;;;;;;;0;;;;109;ИСТИНА;52373;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;1013
M;C156_1_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;156;;;;;;;0;;;;3328;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10HS372_RR;;COM;;;READY TO RESET 1000-03-FIRE;No;ЛОЖЬ;ЛОЖЬ;;248;;;;;;;0;;;;2597;ИСТИНА;52401;None;;;;;;1=READY;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;423
M;344_424_2;;;;;10GT517_RR;;ЛОЖЬ;ЛОЖЬ;;424;;;;;;;0;;;;1550;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
DO;10GA538;;COM;;;TRIP INITIATOR-Flammable gas;No;ЛОЖЬ;ЛОЖЬ;;384;;;;;;;1;;;;898;ИСТИНА;52303;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_101_1;857
