ID;PROP_ID;COMP_ID;LiquidViscosityA;LiquidViscosityB;LiquidViscosityC;LiquidViscosityD;LiquidViscosityTmin;LiquidViscosityTmax
20545;13231;20548;-12321;-12321;-12321;-12321;-12321;-12321
20546;13230;20549;-12321;-12321;-12321;-12321;-12321;-12321
20547;12376;20550;-12321;-12321;-12321;-12321;-12321;-12321
20548;17123;20551;-12321;-12321;-12321;-12321;-12321;-12321
20549;17126;20552;-12321;-12321;-12321;-12321;-12321;-12321
20550;17125;20553;-12321;-12321;-12321;-12321;-12321;-12321
20551;17577;20554;-12321;-12321;-12321;-12321;-12321;-12321
20552;17069;20555;-12321;-12321;-12321;-12321;-12321;-12321
20553;16304;20556;-12321;-12321;-12321;-12321;-12321;-12321
20554;17089;20557;-12321;-12321;-12321;-12321;-12321;-12321
20555;17057;20558;-12321;-12321;-12321;-12321;-12321;-12321
20556;17028;20559;-12321;-12321;-12321;-12321;-12321;-12321
20557;15919;20560;-12321;-12321;-12321;-12321;-12321;-12321
20558;12675;20561;-12321;-12321;-12321;-12321;-12321;-12321
20559;12674;20562;-12321;-12321;-12321;-12321;-12321;-12321
20560;15577;20563;-12321;-12321;-12321;-12321;-12321;-12321
20561;12482;20564;-12321;-12321;-12321;-12321;-12321;-12321
20562;12676;20565;-12321;-12321;-12321;-12321;-12321;-12321
20563;17087;20566;-12321;-12321;-12321;-12321;-12321;-12321
20564;17047;20567;-12321;-12321;-12321;-12321;-12321;-12321
20565;16307;20568;-12321;-12321;-12321;-12321;-12321;-12321
20566;16306;20569;-12321;-12321;-12321;-12321;-12321;-12321
20567;17040;20570;-12321;-12321;-12321;-12321;-12321;-12321
20568;17048;20571;-12321;-12321;-12321;-12321;-12321;-12321
20569;17042;20572;-12321;-12321;-12321;-12321;-12321;-12321
20570;17049;20573;-12321;-12321;-12321;-12321;-12321;-12321
20571;17041;20574;-12321;-12321;-12321;-12321;-12321;-12321
20572;5852;20575;-12321;-12321;-12321;-12321;-12321;-12321
20573;9817;20576;-12321;-12321;-12321;-12321;-12321;-12321
20574;14830;20577;-12321;-12321;-12321;-12321;-12321;-12321
20575;11849;20578;-12321;-12321;-12321;-12321;-12321;-12321
20576;9064;20579;-12321;-12321;-12321;-12321;-12321;-12321
20577;12106;20580;-12321;-12321;-12321;-12321;-12321;-12321
20578;7315;20581;-12321;-12321;-12321;-12321;-12321;-12321
20579;15228;20582;-12321;-12321;-12321;-12321;-12321;-12321
20580;6948;20583;-12321;-12321;-12321;-12321;-12321;-12321
20581;11007;20584;-12321;-12321;-12321;-12321;-12321;-12321
20582;9260;20585;-12321;-12321;-12321;-12321;-12321;-12321
20583;9530;20586;-12321;-12321;-12321;-12321;-12321;-12321
20584;19425;20587;-12321;-12321;-12321;-12321;-12321;-12321
20585;15231;20588;-12321;-12321;-12321;-12321;-12321;-12321
20586;15235;20589;-12321;-12321;-12321;-12321;-12321;-12321
20587;15232;20590;-12321;-12321;-12321;-12321;-12321;-12321
20588;15236;20591;-12321;-12321;-12321;-12321;-12321;-12321
20589;15237;20592;-12321;-12321;-12321;-12321;-12321;-12321
20590;17088;20593;-12321;-12321;-12321;-12321;-12321;-12321
20591;12031;20594;-12321;-12321;-12321;-12321;-12321;-12321
20592;7571;20595;-12321;-12321;-12321;-12321;-12321;-12321
20593;14270;20596;-12321;-12321;-12321;-12321;-12321;-12321
20594;6450;20597;-12321;-12321;-12321;-12321;-12321;-12321
20595;17084;20598;-12321;-12321;-12321;-12321;-12321;-12321
20596;10677;20599;-12321;-12321;-12321;-12321;-12321;-12321
20597;17124;20600;-12321;-12321;-12321;-12321;-12321;-12321
20598;17051;20601;-12321;-12321;-12321;-12321;-12321;-12321
20599;16150;20602;-12321;-12321;-12321;-12321;-12321;-12321
20600;13767;20603;-12321;-12321;-12321;-12321;-12321;-12321
20601;12586;20604;-12321;-12321;-12321;-12321;-12321;-12321
20602;16584;20605;-12321;-12321;-12321;-12321;-12321;-12321
20603;10555;20606;-12321;-12321;-12321;-12321;-12321;-12321
20604;16305;20607;-12321;-12321;-12321;-12321;-12321;-12321
20605;15828;20608;-12321;-12321;-12321;-12321;-12321;-12321
20606;16459;20609;-12321;-12321;-12321;-12321;-12321;-12321
20607;16303;20610;-12321;-12321;-12321;-12321;-12321;-12321
20608;16308;20611;-12321;-12321;-12321;-12321;-12321;-12321
20609;7136;20612;-12321;-12321;-12321;-12321;-12321;-12321
20610;7986;20613;-12321;-12321;-12321;-12321;-12321;-12321
20611;11023;20614;-12321;-12321;-12321;-12321;-12321;-12321
20612;13030;20615;-12321;-12321;-12321;-12321;-12321;-12321
20613;14217;20616;-12321;-12321;-12321;-12321;-12321;-12321
20614;16729;20617;-12321;-12321;-12321;-12321;-12321;-12321
20615;14679;20618;-12321;-12321;-12321;-12321;-12321;-12321
20616;16724;20619;-12321;-12321;-12321;-12321;-12321;-12321
20617;16318;20620;-12321;-12321;-12321;-12321;-12321;-12321
20618;18474;20621;-12321;-12321;-12321;-12321;-12321;-12321
20619;10775;20622;-12321;-12321;-12321;-12321;-12321;-12321
20620;12156;20623;-12321;-12321;-12321;-12321;-12321;-12321
20621;16967;20624;-12321;-12321;-12321;-12321;-12321;-12321
20622;17399;20625;-12321;-12321;-12321;-12321;-12321;-12321
20623;11971;20626;-12321;-12321;-12321;-12321;-12321;-12321
20624;17328;20627;-12321;-12321;-12321;-12321;-12321;-12321
20625;17116;20628;-12321;-12321;-12321;-12321;-12321;-12321
20626;16966;20629;-12321;-12321;-12321;-12321;-12321;-12321
20627;9916;20630;-12321;-12321;-12321;-12321;-12321;-12321
20628;16725;20631;-12321;-12321;-12321;-12321;-12321;-12321
20629;14147;20632;-12321;-12321;-12321;-12321;-12321;-12321
20630;8917;20633;-12321;-12321;-12321;-12321;-12321;-12321
20631;16959;20634;-12321;-12321;-12321;-12321;-12321;-12321
20632;11064;20635;-12321;-12321;-12321;-12321;-12321;-12321
20633;19271;20636;-12321;-12321;-12321;-12321;-12321;-12321
20634;17356;20637;-12321;-12321;-12321;-12321;-12321;-12321
20635;11566;20638;-12321;-12321;-12321;-12321;-12321;-12321
20636;11900;20639;-12321;-12321;-12321;-12321;-12321;-12321
20637;12752;20640;-12321;-12321;-12321;-12321;-12321;-12321
20638;14035;20641;-12321;-12321;-12321;-12321;-12321;-12321
20639;18757;20642;-12321;-12321;-12321;-12321;-12321;-12321
20640;12632;20643;-12321;-12321;-12321;-12321;-12321;-12321
20641;16765;20644;-12321;-12321;-12321;-12321;-12321;-12321
20642;17335;20645;-12321;-12321;-12321;-12321;-12321;-12321
