ID;PROP_ID;COMP_ID;SurfaceTensionA;SurfaceTensionB;SurfaceTensionN;SurfaceTensionTmin;SurfaceTensionTmax
36143;10093;36146;-12321;-12321;-12321;-12321;-12321
36144;9020;36147;-12321;-12321;-12321;-12321;-12321
36145;10107;36148;-12321;-12321;-12321;-12321;-12321
36146;11804;36149;-12321;-12321;-12321;-12321;-12321
36147;11261;36150;-12321;-12321;-12321;-12321;-12321
36148;13069;36151;-12321;-12321;-12321;-12321;-12321
36149;10472;36152;-12321;-12321;-12321;-12321;-12321
36150;12570;36153;-12321;-12321;-12321;-12321;-12321
36151;11897;36154;-12321;-12321;-12321;-12321;-12321
36152;19232;36155;-12321;-12321;-12321;-12321;-12321
36153;19233;36156;-12321;-12321;-12321;-12321;-12321
36154;19231;36157;-12321;-12321;-12321;-12321;-12321
36155;19077;36158;-12321;-12321;-12321;-12321;-12321
36156;9730;36159;-12321;-12321;-12321;-12321;-12321
36157;13689;36160;-12321;-12321;-12321;-12321;-12321
36158;13295;36161;-12321;-12321;-12321;-12321;-12321
36159;11712;36162;-12321;-12321;-12321;-12321;-12321
36160;10668;36163;-12321;-12321;-12321;-12321;-12321
36161;9489;36164;-12321;-12321;-12321;-12321;-12321
36162;10779;36165;-12321;-12321;-12321;-12321;-12321
36163;10261;36166;-12321;-12321;-12321;-12321;-12321
36164;13457;36167;-12321;-12321;-12321;-12321;-12321
36165;10778;36168;-12321;-12321;-12321;-12321;-12321
36166;9932;36169;-12321;-12321;-12321;-12321;-12321
36167;10009;36170;-12321;-12321;-12321;-12321;-12321
36168;6856;36171;-12321;-12321;-12321;-12321;-12321
36169;8386;36172;5.8391999E-2;710;1.178023;289.9899;710
36170;13262;36173;-12321;-12321;-12321;-12321;-12321
36171;12934;36174;-12321;-12321;-12321;-12321;-12321
36172;10511;36175;-12321;-12321;-12321;-12321;-12321
36173;10460;36176;-12321;-12321;-12321;-12321;-12321
36174;9308;36177;-12321;-12321;-12321;-12321;-12321
36175;8183;36178;-12321;-12321;-12321;-12321;-12321
36176;12813;36179;-12321;-12321;-12321;-12321;-12321
36177;12017;36180;-12321;-12321;-12321;-12321;-12321
36178;11716;36181;-12321;-12321;-12321;-12321;-12321
36179;8534;36182;-12321;-12321;-12321;-12321;-12321
36180;9725;36183;-12321;-12321;-12321;-12321;-12321
36181;13755;36184;-12321;-12321;-12321;-12321;-12321
36182;6709;36185;-12321;-12321;-12321;-12321;-12321
36183;5952;36186;-12321;-12321;-12321;-12321;-12321
36184;18761;36187;-12321;-12321;-12321;-12321;-12321
36185;19299;36188;-12321;-12321;-12321;-12321;-12321
36186;7681;36189;-12321;-12321;-12321;-12321;-12321
36187;7676;36190;-12321;-12321;-12321;-12321;-12321
36188;19298;36191;-12321;-12321;-12321;-12321;-12321
36189;11066;36192;-12321;-12321;-12321;-12321;-12321
36190;8179;36193;-12321;-12321;-12321;-12321;-12321
36191;7999;36194;-12321;-12321;-12321;-12321;-12321
36192;13604;36195;-12321;-12321;-12321;-12321;-12321
36193;10732;36196;-12321;-12321;-12321;-12321;-12321
36194;8249;36197;-12321;-12321;-12321;-12321;-12321
36195;8670;36198;-12321;-12321;-12321;-12321;-12321
36196;13538;36199;-12321;-12321;-12321;-12321;-12321
36197;13468;36200;-12321;-12321;-12321;-12321;-12321
36198;9372;36201;-12321;-12321;-12321;-12321;-12321
36199;6851;36202;-12321;-12321;-12321;-12321;-12321
36200;10636;36203;-12321;-12321;-12321;-12321;-12321
36201;13539;36204;-12321;-12321;-12321;-12321;-12321
36202;10203;36205;-12321;-12321;-12321;-12321;-12321
36203;11486;36206;-12321;-12321;-12321;-12321;-12321
36204;11485;36207;-12321;-12321;-12321;-12321;-12321
36205;9906;36208;-12321;-12321;-12321;-12321;-12321
36206;12802;36209;-12321;-12321;-12321;-12321;-12321
36207;8382;36210;-12321;-12321;-12321;-12321;-12321
36208;14173;36211;-12321;-12321;-12321;-12321;-12321
36209;9203;36212;-12321;-12321;-12321;-12321;-12321
36210;12558;36213;-12321;-12321;-12321;-12321;-12321
36211;12226;36214;-12321;-12321;-12321;-12321;-12321
36212;12932;36215;-12321;-12321;-12321;-12321;-12321
36213;6062;36216;-12321;-12321;-12321;-12321;-12321
36214;15240;36217;-12321;-12321;-12321;-12321;-12321
36215;15285;36218;-12321;-12321;-12321;-12321;-12321
36216;14796;36219;-12321;-12321;-12321;-12321;-12321
36217;14795;36220;-12321;-12321;-12321;-12321;-12321
36218;14798;36221;-12321;-12321;-12321;-12321;-12321
36219;13159;36222;-12321;-12321;-12321;-12321;-12321
36220;14548;36223;-12321;-12321;-12321;-12321;-12321
36221;14547;36224;-12321;-12321;-12321;-12321;-12321
36222;9854;36225;-12321;-12321;-12321;-12321;-12321
36223;15227;36226;-12321;-12321;-12321;-12321;-12321
36224;5991;36227;-12321;-12321;-12321;-12321;-12321
36225;6021;36228;-12321;-12321;-12321;-12321;-12321
36226;14848;36229;-12321;-12321;-12321;-12321;-12321
36227;10129;36230;-12321;-12321;-12321;-12321;-12321
36228;7977;36231;-12321;-12321;-12321;-12321;-12321
36229;19144;36232;-12321;-12321;-12321;-12321;-12321
36230;10733;36233;-12321;-12321;-12321;-12321;-12321
36231;6864;36234;-12321;-12321;-12321;-12321;-12321
36232;7870;36235;-12321;-12321;-12321;-12321;-12321
36233;6779;36236;-12321;-12321;-12321;-12321;-12321
36234;6716;36237;-12321;-12321;-12321;-12321;-12321
36235;15640;36238;-12321;-12321;-12321;-12321;-12321
36236;14802;36239;-12321;-12321;-12321;-12321;-12321
36237;14788;36240;-12321;-12321;-12321;-12321;-12321
36238;14380;36241;-12321;-12321;-12321;-12321;-12321
36239;14787;36242;-12321;-12321;-12321;-12321;-12321
36240;9905;36243;-12321;-12321;-12321;-12321;-12321
36241;14804;36244;-12321;-12321;-12321;-12321;-12321
36242;14794;36245;-12321;-12321;-12321;-12321;-12321
36243;14797;36246;-12321;-12321;-12321;-12321;-12321
36244;9568;36247;-12321;-12321;-12321;-12321;-12321
36245;14753;36248;-12321;-12321;-12321;-12321;-12321
36246;12650;36249;-12321;-12321;-12321;-12321;-12321
36247;7727;36250;-12321;-12321;-12321;-12321;-12321
36248;6852;36251;-12321;-12321;-12321;-12321;-12321
