ID;PROP_ID;COMP_ID;Antoine5LogA;Antoine5LogB;Antoine5LogC;Antoine5LogD;Antoine5LogE;Antoine5LogTmin;Antoine5LogTmax
35497;402;35500;445.26071;-25804;-159.92999;8.2125001E-2;-0.000017;479.14999;828
35498;1550;35501;-97.313004;-3787.1699;45.658199;-0.035689;0;481.10001;633.09998
35499;19979;35502;-12321;-12321;-12321;-12321;-12321;-12321;-12321
35500;5286;35503;-241.3942;-5792.7998;78.793999;-0.013112;0.000001;1660;5000
35501;1484;35504;-15.584897;-2855.8999;9.2273998;-5.2840002E-3;0.000001;265.79001;700
35502;2276;35505;180.2265;-8715.7002;-67.266998;4.8925001E-2;-0.000014;229.35001;651
35503;5287;35506;-131.8699;-5281;57.873001;-4.6486001E-2;0.000011;497;1285
35504;5289;35507;102.2401;-3162;-42.244999;0.06752;-4.5000001E-5;161.85001;234.55
35505;5288;35508;224.69301;-13194;-80.899002;0.045316;-9.9999997E-6;506.14999;665.15002
35506;5505;35509;10.588728;-6464.2954;0;0;0;298.14999;753.15002
35507;1924;35510;239.12981;-19156;-80.890999;3.0479001E-2;-4.9999999E-6;700.15002;1113
35508;2763;35511;152.7756;-6968.2002;-57.431;4.3763001E-2;-0.000013;200;672
35509;2278;35512;340.38;-17063;-126.23;8.0737002E-2;-0.000021;268.14999;722
35510;5016;35513;22.197903;-1736.9;-6.6041002;8.4549999E-3;-4.9999999E-6;182.25;289.25
35511;132;35514;66.988503;-3801.1001;-23.75;1.8262001E-2;-6.0000002E-6;250.8;620
35512;67;35515;112.0668;-6545.7998;-40.042999;0.025332;-7.0000001E-6;301.97;753
35513;4949;35516;586.27521;-33770;-209.67999;0.098095;-1.8000001E-5;557.31;847.90997
35514;4950;35517;7.8732028;-4888.5;0;0;0;674.60999;883.15002
35515;5589;35518;363.48019;-19239;-132.47;7.3122002E-2;-0.000016;449.01001;714.40997
35516;4619;35519;379.04291;-21824;-135.32001;6.4588003E-2;-0.000012;602.76001;859.71997
35517;4738;35520;706.30438;-35298;-258.67999;0.1373;-2.9000001E-5;470.59;777.15002
35518;4741;35521;717.00421;-35723;-262.64001;0.13918;-2.9000001E-5;470.03;781.15002
35519;4721;35522;232.9341;-14719;-81.943001;0.038011;-7.0000001E-6;568.28998;882.03998
35520;5368;35523;22.149467;-4760.4937;-2.4271591;-0.012036;6.0000002E-6;214.14999;653.20001
35521;3987;35524;88.4608;-6488.8999;-30.233999;0.016959;-0.000004;419.92999;717.32001
35522;4000;35525;182.34201;-9256.5996;-67.236;4.4718999E-2;-0.000012;279.01001;692.40002
35523;3976;35526;187.9144;-10995;-67.176003;3.7039999E-2;-0.000008;471.07999;745.12
35524;4170;35527;108.91151;-7623.6001;-37.687;2.0872001E-2;-4.9999999E-6;520;620
35525;4330;35528;123.52811;-9089;-42.424;0.020606;-0.000004;577.62;720
35526;4093;35529;200.53061;-12270;-71.262001;3.8215999E-2;-0.000008;496.56;736.70001
35527;4245;35530;92.278206;-7745.3999;-30.837;0.014908;-3.0000001E-6;596.58002;696.58002
35528;4021;35531;54.358902;-5119;-17.541;0.01022;-0.000002;311.34;722.29999
35529;5349;35532;10.191848;-2549.1077;-0.218466;-5.1060002E-3;3.0000001E-6;190.64999;606
35530;2278;35533;340.38;-17063;-126.23;8.0737002E-2;-0.000021;268.14999;722
35531;2997;35534;95.852402;-6625.6001;-33.539001;0.021488;-6.0000002E-6;243.45;705
35532;2293;35535;281.93561;-14801;-103.74;6.4333998E-2;-0.000016;243;774
35533;138;35536;57.005203;-1858.5;-22.391001;0.033496;-0.000021;142;306.45001
35534;5156;35537;15.572203;-963.87;-4.3123002;0.005988;0;111.65;309.35001
35535;559;35538;85.571007;-3743.7;-32.249001;0.030825;-0.000012;164.64999;540.15002
35536;949;35539;53.123703;-4125.3999;-17.747;0.013183;-0.000004;193;639
35537;5018;35540;6.7735028;-1841.7;0.28718999;-3.0000001E-4;0;222.95;340.14999
35538;570;35541;79.559303;-4078.7;-29.069;0.024068;-0.000008;176.99001;631.95001
