ID;PROP_ID;COMP_ID;Poly5IdealGasCpA;Poly5IdealGasCpB;Poly5IdealGasCpC;Poly5IdealGasCpD;Poly5IdealGasCpE;Poly5IdealGasCpTmin;Poly5IdealGasCpTmax
20832;16223;20834;-31.546808;1.120787;-5.5200001E-4;0;0;200;980
20833;17220;20835;1.610178;0.79400802;-0.000294;0;0;200;980
20834;16456;20836;-29.596443;1.556674;-8.4300002E-4;0;0;200;980
20835;10699;20837;-20.360325;1.134686;-5.5699999E-4;0;0;200;980
20836;6326;20838;-10.056145;0.87147802;-0.000398;0;0;200;980
20837;14937;20839;9.9586868;0.49667901;-2.5899999E-4;0;0;200;980
20838;9333;20840;9.1541023;0.86626101;-0.000317;0;0;200;980
20839;17228;20841;10.141716;0.84876299;-0.000291;0;0;200;980
20840;15216;20842;10.938811;0.75295502;-2.3600001E-4;0;0;200;980
20841;17230;20843;19.470459;0.80770802;-0.000233;0;0;200;980
20842;17229;20844;-8.7010498;0.92543399;-3.8499999E-4;0;0;200;980
20843;10381;20845;-45.452053;0.98314798;-0.000287;0;0;200;980
20844;9607;20846;-56.926464;0.86465502;-5.6499999E-4;0;0;200;980
20845;13978;20847;0.015836;0.98562598;-4.0399999E-4;0;0;200;980
20846;17190;20848;-29.911331;0.999035;-3.6000001E-4;0;0;200;980
20847;15104;20849;-35.203461;1.214957;-0.00068;0;0;200;980
20848;11714;20850;18.131765;0.60588503;-7.5999997E-5;0;0;200;980
20849;11393;20851;-51.733635;0.95310903;-3.6999999E-4;0;0;200;980
20850;12524;20852;-0.79693902;1.062897;-4.2200001E-4;0;0;200;980
20851;9938;20853;-16.905605;0.90450299;-2.8400001E-4;0;0;200;980
20852;12523;20854;-0.79693902;1.062897;-4.2200001E-4;0;0;200;980
20853;12114;20855;-16.905605;0.90450299;-2.8400001E-4;0;0;200;980
20854;11135;20856;5.596653;0.91973299;-5.0299999E-4;0;0;200;980
20855;11136;20857;-30.784512;1.202897;-6.7899999E-4;0;0;200;980
20856;11299;20858;20.089121;0.76965702;-2.3400001E-4;0;0;200;980
20857;11298;20859;20.886076;0.67385;-0.000179;0;0;200;980
20858;17283;20860;5.676599;0.68176502;-0.000279;0;0;200;980
20859;17284;20861;11.308513;0.70402002;-0.000208;0;0;200;980
20860;17304;20862;69.958611;1.266745;-0.000174;0;0;200;980
20861;17291;20863;23.941362;0.978091;-2.5000001E-4;0;0;200;980
20862;17292;20864;7.9347868;1.0818141;-0.000405;0;0;200;980
20863;17273;20865;-17.770411;1.275529;-6.4599997E-4;0;0;200;980
20864;12107;20866;-46.312366;1.442196;-0.000826;0;0;200;980
20865;16476;20867;-40.121147;0.847947;-4.6700001E-4;0;0;200;980
20866;14954;20868;-37.595207;1.502385;-8.4499997E-4;0;0;200;980
20867;16757;20869;-38.339516;1.559128;-7.2800001E-4;0;0;200;980
20868;17085;20870;-11.166724;0.76494801;-2.9699999E-4;0;0;200;980
20869;17334;20871;-42.690613;1.525944;-0.000879;0;0;200;980
20870;14924;20872;34.252666;0.84666502;-0.00016;0;0;200;980
20871;16758;20873;-43.434975;1.582688;-7.6199998E-4;0;0;200;980
20872;12132;20874;21.43412;0.567159;-9.5000003E-5;0;0;200;980
20873;13749;20875;36.643574;0.55924398;4.9999999E-6;0;0;200;980
20874;8234;20876;29.965727;0.62191302;-9.2000002E-5;0;0;200;980
20875;11484;20877;-7.9037108;0.829624;-3.3000001E-4;0;0;200;980
20876;17288;20878;19.840105;0.75877398;-0.000205;0;0;200;980
20877;17301;20879;13.918959;0.61929703;-0.000248;0;0;200;980
20878;17409;20880;13.918959;0.61929703;-0.000248;0;0;200;980
20879;17361;20881;28.331942;0.70718402;-0.000203;0;0;200;980
20880;17302;20882;25.941492;0.9946;-3.6800001E-4;0;0;200;980
20881;8228;20883;-34.806751;0.93148202;-4.3399999E-4;0;0;200;980
