ID;PROP_ID;COMP_ID;RackettLiquidDensityA;RackettLiquidDensityB;RackettLiquidDensityN;RackettLiquidDensityTc;RackettLiquidDensityTmin;RackettLiquidDensityTmax
30126;9013;30129;298.52963;0.24991199;0.27762699;819;110;819
30127;17865;30130;261.35242;0.248513;0.28102201;693;110;693
30128;17866;30131;245.02231;0.23442;0.268787;744;110;744
30129;11359;30132;247.06105;0.247209;0.26972201;735;110;735
30130;10979;30133;323.02725;0.243155;0.27472299;791;400.42999;791
30131;11351;30134;262.96661;0.25609401;0.28414801;637;110;637
30132;10644;30135;263.00687;0.25650999;0.28405899;594;110;594
30133;8740;30136;307.41968;0.26224399;0.284107;669;218.39;669
30134;17435;30137;284.22455;0.24401399;0.27339199;725;110;725
30135;17073;30138;245.37022;0.235249;0.26450199;700;110;700
30136;12029;30139;297.52521;0.24873801;0.28347901;802;100;802
30137;15279;30140;313.38873;0.235294;0.26754299;919;110;919
30138;14972;30141;316.02695;0.234844;0.26549101;895;110;895
30139;17071;30142;261.48312;0.25025699;0.27857101;681;110;681
30140;17905;30143;-12321;-12321;-12321;-12321;-12321;-12321
30141;14839;30144;301.59125;0.23779599;0.273673;730;110;730
30142;18229;30145;263.81375;0.247972;0.27523199;653;110;653
30143;14838;30146;303.85306;0.238741;0.27464899;721;110;721
30144;5683;30147;-12321;-12321;-12321;-12321;-12321;-12321
30145;9959;30148;263.32712;0.258228;0.28057501;576;110;576
30146;12365;30149;271.46945;0.259204;0.28048301;628;110;628
30147;8564;30150;294.09628;0.24567001;0.27403799;685;110;685
30148;15737;30151;313.75458;0.244811;0.280608;698;110;698
30149;10462;30152;331.45401;0.239592;0.27403799;764;324.60001;764
30150;9863;30153;267.95834;0.25289199;0.28617001;610;100;610
30151;18147;30154;289.56839;0.242984;0.271622;680;110;680
30152;16183;30155;262.94028;0.25876001;0.28518301;618;110;618
30153;19621;30156;288.8949;0.257274;0.28485101;756;100;756
30154;17552;30157;-12321;-12321;-12321;-12321;-12321;-12321
30155;14717;30158;301.59125;0.23779599;0.273673;730;110;730
30156;16115;30159;372.56812;0.241513;0.27614;813;480.70001;813
30157;18668;30160;-12321;-12321;-12321;-12321;-12321;-12321
30158;18145;30161;289.56839;0.242982;0.27162001;677;110;677
30159;9899;30162;266.70096;0.248467;0.28617901;631;100;631
30160;13023;30163;259.41159;0.25912401;0.28589499;609;110;609
30161;14000;30164;303.85306;0.238741;0.27464899;721;110;721
30162;9135;30165;297.85257;0.24959899;0.27449799;750;110;750
30163;9006;30166;364.30396;0.23371799;0.27590501;820;370.85001;820
30164;8281;30167;398.0704;0.232342;0.27996799;824;110;824
30165;16116;30168;344.7872;0.22629701;0.263136;1039;450.39999;1039
30166;15058;30169;264.05026;0.25882801;0.285153;617;110;617
30167;18324;30170;372.01205;0.24056099;0.27504599;864;110;864
30168;13025;30171;253.97787;0.25377399;0.280846;622;110;622
30169;18322;30172;397.2243;0.24350899;0.27705801;867;110;867
30170;18323;30173;388.28049;0.23460899;0.270524;775;110;775
