ID;PROP_ID;COMP_ID;EnthalpyOfVapourizationA;EnthalpyOfVapourizationB;EnthalpyOfVapourizationN;EnthalpyOfVapourizationTmin;EnthalpyOfVapourizationTmax
37962;6278;37965;71653.984;756;0.36391801;200;756
37963;6701;37966;81623.031;547;0.48755401;200;547
37964;10980;37967;92904.289;864;0.573475;346.12;864
37965;18878;37968;128108.96;749;0.52312797;200;749
37966;10382;37969;85701.289;659;0.43096399;200;659
37967;11863;37970;93195.914;697;0.404762;200;697
37968;12445;37971;117651.95;731;0.46744999;200;731
37969;12446;37972;109097.72;722;0.464975;200;722
37970;8165;37973;88164.422;740;0.421038;200;740
37971;5714;37974;65772.984;622;0.34942099;200;622
37972;18758;37975;92889.773;667;0.41744101;200;667
37973;12598;37976;66299.758;465;0.427955;200;465
37974;8947;37977;84579.406;740;0.40358901;200;740
37975;9034;37978;66906.156;732;0.36666301;293.91;732
37976;7703;37979;80862.914;732;0.400861;200;732
37977;7166;37980;40326.293;460;0.40913999;200;460
37978;11855;37981;57576.945;574;0.39948401;200;574
37979;8713;37982;54243.914;559;0.39601901;200;559
37980;8843;37983;44952.566;531;0.39709699;200;531
37981;7306;37984;51731.574;602;0.38411599;200;602
37982;6699;37985;39412.094;511;0.36480999;200;511
37983;6763;37986;37533.34;472;0.36402699;200;472
37984;12021;37987;48791.852;708;0.35269099;200;708
37985;7821;37988;-12321;-12321;-12321;-12321;-12321
37986;19204;37989;55134.629;578;0.39024201;200;578
37987;19109;37990;55134.629;578;0.39024201;200;578
37988;18923;37991;-12321;-12321;-12321;-12321;-12321
37989;19263;37992;-12321;-12321;-12321;-12321;-12321
37990;19206;37993;47462.453;535;0.380564;200;535
37991;19205;37994;47462.453;535;0.380564;200;535
37992;9125;37995;33752.797;460;0.36939901;200;460
37993;9124;37996;33752.797;460;0.36939901;200;460
37994;7165;37997;54826.496;501;0.42324799;200;501
37995;6233;37998;47457.348;527.40002;0.38089001;200;527.40002
37996;13149;37999;45086.066;490;0.41234899;200;490
37997;7769;38000;49492.43;606;0.372448;146.422;606
37998;7760;38001;37246.641;494;0.35010299;160.55;494
37999;10467;38002;51047.07;626;0.36849299;200;626
38000;8102;38003;46578.141;535;0.39054999;187.28999;535
38001;14647;38004;72991.906;654;0.37309301;200;654
38002;11812;38005;64690.578;643.5;0.403449;195.19;643.5
38003;19151;38006;57210.621;590;0.39785299;200;590
38004;6820;38007;54393.254;566;0.36231601;298.14438;566
38005;19150;38008;58749.449;586;0.40220201;200;586
38006;16542;38009;58296.59;585;0.39631301;200;585
38007;16799;38010;70338.906;783;0.370287;200;783
38008;13439;38011;63350.516;594;0.39235899;298.14438;594
38009;16800;38012;-12321;-12321;-12321;-12321;-12321
38010;7557;38013;60017.176;599.18597;0.39348799;200;599.18597
38011;10603;38014;-12321;-12321;-12321;-12321;-12321
38012;6282;38015;-12321;-12321;-12321;-12321;-12321
38013;9909;38016;59922.234;665;0.391794;206.49001;665
38014;15702;38017;68505.945;636;0.37393001;200;636
38015;14648;38018;74366.344;654;0.376295;200;654
38016;19313;38019;50602.965;551;0.38977;200;551
38017;18865;38020;52032.438;547;0.39457399;200;547
38018;14184;38021;60689.629;580.59998;0.380447;200;580.59998
38019;15664;38022;77122.305;652;0.38109699;200;652
38020;15661;38023;71599.195;639.29999;0.37986401;200;639.29999
38021;13444;38024;64246.832;662.29999;0.38508299;200;662.29999
38022;14649;38025;72858.344;654;0.37278399;200;654
38023;11380;38026;48595.445;538.79999;0.38117999;200;538.79999
38024;13622;38027;-12321;-12321;-12321;-12321;-12321
38025;16792;38028;-12321;-12321;-12321;-12321;-12321
38026;16789;38029;-12321;-12321;-12321;-12321;-12321
38027;12874;38030;73058.773;645;0.42190501;200;645
38028;7320;38031;81080.633;681;0.40772501;200;681
38029;9842;38032;54987.453;565.5;0.393352;183.64;565.5
38030;15436;38033;79186.922;659;0.38046199;200;659
38031;15347;38034;70234.586;618;0.413849;200;618
38032;18410;38035;90794.891;698;0.40273699;200;698
38033;12163;38036;206017.3;1110;0.556355;343.26999;1110
38034;15493;38037;120696.26;858;0.43229899;347.10001;858
38035;5840;38038;92981.563;781;0.409282;287.44;781
38036;7334;38039;69082.211;651.90002;0.39394999;200;651.90002
38037;7058;38040;72412.203;651;0.39889601;200;651
38038;7065;38041;67449.359;631;0.39819899;200;631
38039;15114;38042;71747.688;644;0.45619601;200;644
38040;16773;38043;-12321;-12321;-12321;-12321;-12321
38041;9525;38044;77004.555;678;0.43109399;200;678
38042;16386;38045;100670.16;710;0.471176;200;710
38043;16200;38046;99716.656;701;0.50024003;200;701
38044;7388;38047;79944.055;692;0.412494;200;692
38045;7066;38048;61869.082;609;0.39402801;200;609
