PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5
DO;91XY089;;MCC;901-10;A_90110;AUTO CLOSURE 91XV089;Yes;ИСТИНА;ЛОЖЬ;;456;;;;;;;0;;;;138;ЛОЖЬ;33403;None;;;;;;1=CLOSE;;;;;;;Undefined;491;3428;;18.06;7;3;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;524_1;;;901-10;;;;ЛОЖЬ;ЛОЖЬ;;524;;;;;;;0;;;;1909;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C300_1_E;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;300;;;;;;;0;;;;2100;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91PALL824_CA;;COM;901-10;A_C90111;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;610;;;;;;;0;;;;1792;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;575
M;318_444_4;;;9100;;91PAHH 084_I;;ЛОЖЬ;ЛОЖЬ;;444;;;;;;;0;;;;1705;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;520_524_1;;;9100;;91ZALL751_I;;ЛОЖЬ;ЛОЖЬ;;524;;;;;;;0;;;;559;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;C338_1_E;;;9100;9100;Function block marker;;ЛОЖЬ;ЛОЖЬ;;338;;;;;;;0;;;;1249;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DI;91PI752_MOR;;COM;901-10;A_C90111;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;504;;;;;;;0;;;;2219;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Input;EPKS_UCB;ESD_912_1;76
DI;91LI802_MOR;;COM;901-10;A_C90111;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;600;;;;;;;0;;;;2206;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;Input;EPKS_UCB;ESD_912_1;63
M;310_3;;;901-10;;;;ЛОЖЬ;ЛОЖЬ;;310;;;;;;;0;;;;412;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2495_E;;;;;0=ALARM;;ЛОЖЬ;ЛОЖЬ;;2495;;;;;;;0;;;;177;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
DO;91XY010;;MCC;901-10;A_90110;AUTO CLOSURE 91XV010;Yes;ИСТИНА;ЛОЖЬ;;404;;;;;;;0;;;;88;ЛОЖЬ;33404;None;;;;;;1=CLOSE;;;;;;;Undefined;491;3428;;18.06;1;1;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
T;2460_2;;;901-10;;;;ЛОЖЬ;ЛОЖЬ;;2460;;;;;;;;1 s;0;;4;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with variable timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;313_312_2;;;9100;;91PT071_F;;ЛОЖЬ;ЛОЖЬ;;312;;;;;;;0;;;;2624;ЛОЖЬ;0;;;;;;;1=FAULT;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
M;321_402_3;;;9100;;91LAHH052_I;;ЛОЖЬ;ЛОЖЬ;;402;;;;;;;0;;;;1908;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;
DO;IB912_ESD_CF;;COM;862-34;;CONTROLLER ESD_912_1 FAULT;No;ИСТИНА;ЛОЖЬ;;16;;;;;;;0;;;;78;ЛОЖЬ;33628;None;;;;;;0=FAULT;0=FAULT;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;Output;EPKS_UCB;ESD_912_1;707
M;C240_2_B;;;4300;4300;Function block marker;;ЛОЖЬ;ЛОЖЬ;;240;;;;;;;0;;;;2121;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;324_184_1;;;901-10;;91LT055;;ЛОЖЬ;ЛОЖЬ;;184;;;;;;;0;;;;1496;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
M;2456_A;;;;;Trip 1;;ЛОЖЬ;ЛОЖЬ;;2456;;;;;;;0;;;;122;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;
