PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11
M;C1031_2_K;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1031;;;;;;;0;;;;4357;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;17_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;17;;;;;;;;100 ms;5;;92;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed ON with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74VSHH831AB_MOR;;COM;740-20;A_C74021;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;597;;;;;;;0;;;;3994;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;;;;;;;;Freeze;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74VAH877A;;BNS;740-20;A_C74022;C7402002BX COUNT VIB X;Yes;ИСТИНА;ЛОЖЬ;;759;;;;;;;;;;;186;ИСТИНА;15097;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;07.04;5;3;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_UCB;ESD_002_1;1298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1011_9;;;740-20;;;;ЛОЖЬ;ЛОЖЬ;;1011;;;;;;;0;;;;3304;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;73TI096B;;FLD;730-30;A_C73031;C7303001B FEED OIL;Yes;ИСТИНА;ЛОЖЬ;;953;ИСТИНА;Float;4-20mA;0;100;°C;;;;;312;ЛОЖЬ;15300;;None;None;None;None;;;;-25;-25;;;;-XXXXX.X;3.76;21;;07.05;3;11;1;Top scale;;;;ЛОЖЬ;;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C577_1_E;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;577;;;;;;;0;;;;593;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1053_2_K;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1053;;;;;;;0;;;;4745;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;483_487_2;;;730-30;;73SAHH001B/002B;;ЛОЖЬ;ЛОЖЬ;;487;;;;;;;0;;;;498;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C463_1_G;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;463;;;;;;;0;;;;674;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74HS849C;;COM;C742001;;RESET I-501 & I-701;No;ЛОЖЬ;ИСТИНА;;607;;;;;;;0;;;;3871;ИСТИНА;14480;None;;;;;;1=RESET;;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;;Input;EPKS_UCB;ESD_002_1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAHH068B3_CA;;COM;730-30;A_C73031;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;967;;;;;;;0;;;;2705;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;637_1532_4;;;;;74TAH936C_HI;;ЛОЖЬ;ЛОЖЬ;;1532;;;;;;;0;;;;5075;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73VSHH004B1_FU;;COM;730-30;;С-7303001B EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1061;;;;;;;0;;;;4488;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;555_104_2;;;C7303001;;73VSHH005;;ЛОЖЬ;ЛОЖЬ;;104;;;;;;;0;;;;4982;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C471_3_E;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;471;;;;;;;0;;;;5610;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;711_2;;;C742002;;;;ЛОЖЬ;ЛОЖЬ;;711;;;;;;;0;;;;2460;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;589_5;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;589;;;;;;;;100 ms;5;;1644;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2440_A;;;;;Signal 1;;ЛОЖЬ;ЛОЖЬ;;2440;;;;;;;0;;;;1202;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C439_1_C;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;439;;;;;;;0;;;;712;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74VAHH832A;;COM;740-20;A_C74021;C7402001AX COUNT VIB X;No;ЛОЖЬ;ЛОЖЬ;;599;;;;;;;0;;;;2266;ИСТИНА;15099;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;1083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;74TI078A;;FLD;740-20;;BCK H2O  AFT E7402002BX;Yes;ИСТИНА;ЛОЖЬ;;328;ИСТИНА;Float;4-20mA;0;200;°C;;;;;592;ЛОЖЬ;14249;;None;None;None;None;;;;;;;;;-XXXXX.X;3.76;21;;07.05;11;13;1;Bottom scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;535_96_1;;;730-30;;73FT034B;;ЛОЖЬ;ЛОЖЬ;;96;;;;;;;0;;;;1941;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;735_1025_2;;;C742002;;74PDAHH883_I;;ЛОЖЬ;ЛОЖЬ;;1025;;;;;;;0;;;;3511;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C316_2_F;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;316;;;;;;;0;;;;6032;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;74TI936C_HH;;COM;740-20;A_C74021;HH TRIP SETPOINT (°C);No;ЛОЖЬ;ЛОЖЬ;;637;;Float;;;;;0;;;;612;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;10337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BO;73FI034B_LL;;COM;730-30;;LL TRIP SETPOINT;No;ЛОЖЬ;ЛОЖЬ;;535;;Float;;;;;0;;;;540;;0;;;;;;;;;0;0;;;;-XXXXX.X;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;10213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C607_1_C;;;C742001;C742001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;607;;;;;;;0;;;;506;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;421_9;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;421;;;;;;;0;;;;1446;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73PALL126A_CA;;COM;730-30;A_C73031;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;417;;;;;;;0;;;;5479;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;739_767_2;;;C742002;;74PALL878_I;;ЛОЖЬ;ЛОЖЬ;;767;;;;;;;0;;;;2549;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74LI001B_MOC;;COM;740-20;A_C74021;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;316;;;;;;;0;;;;1435;ИСТИНА;15101;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;316_7;;;740-20;;;;ЛОЖЬ;ЛОЖЬ;;316;;;;;;;0;;;;5918;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C911_3_F;;;C7303001;C7303001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;911;;;;;;;0;;;;6126;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74TI861A_TF;;COM;740-20;A_C74021;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;583;;;;;;;0;;;;1981;ИСТИНА;15103;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;1006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C306_1_C;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;306;;;;;;;0;;;;3668;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TAHH142;;COM;730-30;A_C73032;1ST STAGE DELIVERY;No;ЛОЖЬ;ЛОЖЬ;;543;;;;;;;0;;;;1705;ИСТИНА;15104;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73TALL058;;COM;730-30;A_73030;N2 VAPORIZER OUT TMP;No;ЛОЖЬ;ЛОЖЬ;;403;;;;;;;0;;;;1531;ИСТИНА;15105;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74VSHH833B_FU;;COM;740-20;;C-7402001AX EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;999;;;;;;;0;;;;3169;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C547_1_E;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;547;;;;;;;0;;;;97;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;603_605_1;;;C742001;;74-I-501_1;;ЛОЖЬ;ЛОЖЬ;;605;;;;;;;0;;;;2372;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1033_1_J;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1033;;;;;;;0;;;;4344;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;74VSHH951B;;BNS;740-20;A_C74022;C7402002CX VIB Y;Yes;ИСТИНА;ЛОЖЬ;;797;;;;;;;;;;;265;ИСТИНА;15106;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;07.10;7;2;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;Output;EPKS_UCB;ESD_002_1;1329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;409_2;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;409;;;;;;;0;;;;2821;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;795_130_3;;;C742002;;74VSHH954AB;;ЛОЖЬ;ЛОЖЬ;;130;;;;;;;0;;;;5105;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;771_124_1;;;740-20;;74PT964;;ЛОЖЬ;ЛОЖЬ;;124;;;;;;;0;;;;2563;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;1049_4;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;1049;;;;;;;0;;;;4514;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;961_1506_3;;;C7303001;;73TI089B TF;;ЛОЖЬ;ЛОЖЬ;;1506;;;;;;;0;;;;4797;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C631_8_E;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;631;;;;;;;0;;;;6525;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;73HS015A_O;;COM;730-30;;73XV015A OPEN;No;ИСТИНА;ИСТИНА;;450;;;;;;;0;;;;3873;ЛОЖЬ;14135;None;;;;;;1=OPEN;1=OPEN;;;;;;Undefined;;;;;;;;Low;;;;ЛОЖЬ;ИСТИНА;;;ЛОЖЬ;View only;Input;EPKS_UCB;ESD_002_1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;2456_I;;;;;Trip 9;;ЛОЖЬ;ЛОЖЬ;;2456;;;;;;;0;;;;1173;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PDI838_TF;;COM;740-20;A_C74021;TRANSM. FAIL;No;ЛОЖЬ;ЛОЖЬ;;575;;;;;;;0;;;;2253;ИСТИНА;15107;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C737_6_E;;;C742002;C742002;Function block marker;;ЛОЖЬ;ЛОЖЬ;;737;;;;;;;0;;;;6363;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;965_100_1;;;730-30;;73TT068B2;;ЛОЖЬ;ЛОЖЬ;;100;;;;;;;0;;;;2872;ЛОЖЬ;0;;;;;;;1=MO CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;549_2;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;549;;;;;;;;100 ms;5;;772;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C436_1_G;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;436;;;;;;;0;;;;6714;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;303_370_1;;;740-20;;74HA013_017;;ЛОЖЬ;ЛОЖЬ;;370;;;;;;;0;;;;1490;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;473_987_2;;;730-30;;N2-PLANT-B-I017-018;;ЛОЖЬ;ЛОЖЬ;;987;;;;;;;0;;;;138;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;591_997_2;;;730-30;;74TAHH864_I;;ЛОЖЬ;ЛОЖЬ;;997;;;;;;;0;;;;3144;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C537_1_G;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;537;;;;;;;0;;;;5598;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;905_1;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;905;;;;;;;0;;;;2749;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C1061_2_I;;;730-30;730-30;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1061;;;;;;;0;;;;4695;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74ZAHH877;;COM;740-20;A_C74022;C7402002BX POS GEAR HS 1;No;ЛОЖЬ;ЛОЖЬ;;761;;;;;;;0;;;;2356;ИСТИНА;15108;None;;;;;;0=TRIP;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;1153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AI;74TI832;;FLD;730-30;;C7402001AX 1 STEP;Yes;ИСТИНА;ЛОЖЬ;;577;ИСТИНА;Float;4-20mA;-50;50;°C;;;;;1060;ЛОЖЬ;14224;;None;None;None;None;;;;;;;;;-XXXXX.X;3.76;21;;07.03;3;11;1;Top scale;;;;ЛОЖЬ;ИСТИНА;ЛОЖЬ;;;;Output;EPKS_UCB;ESD_002_1;10439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;451_2;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;451;;;;;;;0;;;;1878;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;595_10;;;C742001;;;;ЛОЖЬ;ЛОЖЬ;;595;;;;;;;0;;;;6155;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74VSHH876A_FU;;COM;740-20;;C-7402002BX EMERGENCY SD;No;ЛОЖЬ;ЛОЖЬ;;1029;;;;;;;0;;;;3543;ЛОЖЬ;0;None;;;;;;1=FIRST;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C957_3_G;;;C7303001;C7303001;Function block marker;;ЛОЖЬ;ЛОЖЬ;;957;;;;;;;0;;;;5448;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;165_2372_2;;;;;88HS900_REL;;ЛОЖЬ;ЛОЖЬ;;2372;;;;;;;0;;;;1279;ЛОЖЬ;0;;;;;;;1=RELEASED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;747_763_2;;;C742002;;74TAHH906C_I;;ЛОЖЬ;ЛОЖЬ;;763;;;;;;;0;;;;2534;ЛОЖЬ;0;;;;;;;0=TRIP INITIATOR;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;435_1051_3;;;730-30;;"PROD PLANT ""A"" EMERG SD";;ЛОЖЬ;ЛОЖЬ;;1051;;;;;;;0;;;;4582;ЛОЖЬ;0;;;;;;;0=TRIP;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;441_1;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;441;;;;;;;0;;;;2204;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
