PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11
M;759_11;;;C742002;;;;ЛОЖЬ;ЛОЖЬ;;759;;;;;;;0;;;;6153;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74PALL908_CA;;COM;740-20;A_C74021;CAUSE ALARM;No;ЛОЖЬ;ЛОЖЬ;;629;;;;;;;0;;;;2007;ЛОЖЬ;0;None;;;;;;0=ALARM;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C302_1_D;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;302;;;;;;;0;;;;3681;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;921_4;;;C7303001;;;;ЛОЖЬ;ЛОЖЬ;;921;;;;;;;;100 ms;5;;784;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;451_3;;;730-30;;;;ЛОЖЬ;ЛОЖЬ;;451;;;;;;;0;;;;1879;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;73SSHH001A_MOC;;COM;730-30;A_73030;MO CONFIRMED;No;ЛОЖЬ;ЛОЖЬ;;445;;;;;;;0;;;;1826;ИСТИНА;13807;None;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;Output;EPKS_UCB;ESD_002_1;571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;74HS804_PA;;COM;C742002;;1oo2 PRE ALARM;No;ЛОЖЬ;ЛОЖЬ;;726;;;;;;;0;;;;5680;ЛОЖЬ;0;None;;;;;;0=TRIP;0=TRIP;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;Output;EPKS_UCB;ESD_002_1;1554;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;535_1502_3;;;730-30;;73FI034B TF;;ЛОЖЬ;ЛОЖЬ;;1502;;;;;;;0;;;;284;ЛОЖЬ;0;;;;;;;0=ALARM;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C425_4_F;;;740-20;740-20;Function block marker;;ЛОЖЬ;ЛОЖЬ;;425;;;;;;;0;;;;6069;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;;;;;;;;;;;;ЛОЖЬ;ИСТИНА;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;7-ExtComFaultCC4;;SYS;;;EXT COM FAULT COM CH 4;Yes;ЛОЖЬ;;;16;;;;;;;;;;;9;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
