PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6;ComAllocationType7;Master7;Slave7;PLCAddress7;ComAllocationType8;Master8;Slave8;PLCAddress8;ComAllocationType9;Master9;Slave9;PLCAddress9;ComAllocationType10;Master10;Slave10;PLCAddress10;ComAllocationType11;Master11;Slave11;PLCAddress11;ComAllocationType12;Master12;Slave12;PLCAddress12;ComAllocationType13;Master13;Slave13;PLCAddress13;ComAllocationType14;Master14;Slave14;PLCAddress14;ComAllocationType15;Master15;Slave15;PLCAddress15;ComAllocationType16;Master16;Slave16;PLCAddress16;ComAllocationType17;Master17;Slave17;PLCAddress17;ComAllocationType18;Master18;Slave18;PLCAddress18
DO;FGS_411_1.41HS267E_ENB;;FSC;;;GAS MOS 4100 ENABLE;Yes;ЛОЖЬ;ЛОЖЬ;;421;;;;;;;0;;;;3366;ЛОЖЬ;0;None;;;;;;1=ENABLED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;FGS_001_1;FGS_411_1;24;;;;;;;;;;;;;;;;;;;;
DI;31-CP2_Running;;SYS;;;CP 2 running;Yes;ЛОЖЬ;;;20;;;;;;;;;;;32;ЛОЖЬ;0;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;1912;;;;;;;;;;;;;;;;
DI;FGS_932_1.93XA591C_1;;FSC;;;Fl.GD act. in 930-20-GDAP-C,F,G lamp;Yes;ИСТИНА;ЛОЖЬ;;637;;;;;;;0;;;;4690;ЛОЖЬ;43750;None;;;;;;PULSE=ALARM;;;;;;;Undefined;491;3428;;;;;;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_932_1;18;;;;;;;;;;;;
M;62_266_13;;;;;FGS_001_3.FGS_001_1_SnS1;;ЛОЖЬ;ЛОЖЬ;;266;;;;;;;0;;;;6661;ЛОЖЬ;0;;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;433_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;433;;;;;;;0;;;;330;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;120_14;;;;;;;ЛОЖЬ;ЛОЖЬ;;120;;;;;;;0;;;;261;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;43HS171A2;;F01;;;MOS Enable key;Yes;ИСТИНА;ЛОЖЬ;;670;;;;;;;;;;;226;ИСТИНА;42682;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.12;9;11;1;Low;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;683;;;;;;;;;;;;;;;;
DI;FGS_431_1.43XA078_2;;FSC;;;HD act. in 430-11-FDAP-C,F lamp;Yes;ИСТИНА;ЛОЖЬ;;655;;;;;;;0;;;;5442;ЛОЖЬ;42417;None;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Input;FGS_001_1;FGS_431_1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;63_432_3;;;;;FGS_411_1.FGS_001_1_SnS1;;ЛОЖЬ;ЛОЖЬ;;432;;;;;;;0;;;;6686;ЛОЖЬ;0;;;;;;;1=NORMAL;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;58XA944F;;GFB;;;FLAMMABLE GAS COMMON ALARM IN CH-58-1;No;ИСТИНА;ЛОЖЬ;;536;;;;;;;0;;;;378;ЛОЖЬ;42941;None;;;;;;1=ON;;;;;;;Undefined;491;3428;;31.08;9;3;1;Appl;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Output;EPKS_CCB;FGS_001_1;999;;;;;;;;;;;;;;;;
M;659_5;;;;;;;ЛОЖЬ;ЛОЖЬ;;659;;;;;;;0;;;;1101;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;148_28;;;;;;;ЛОЖЬ;ЛОЖЬ;;148;;;;;;;0;;;;757;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
