НомерГруппы;ИмяГруппы;Точка1;Точка2;Точка3;Точка4;Точка5;Точка6;Точка7;Точка8;Точка9;Точка10;Точка11;Точка12;Точка13;Точка14;Точка15;Точка16;Точка17;Точка18;Точка19;Точка20;Точка21;Точка22;Точка23;Точка24;Точка25;Точка26;Точка27;Точка28;Точка29;Точка30;Точка31;Точка32
2167;;10UC950A.PIDA.OP;10UC950A.PIDA.PV;10UC950A.PIDA.SP;10UC950B.PIDA.OP;10UC950B.PIDA.PV;10UC950B.PIDA.SP;10UY950D.REGCALCA.OPEU;10UY952A.DACA.PV;10UY950A.REGCALCA.OPEU;10UY950B.REGCALCA.OPEU;10UY950E.OVRDSELA.OP;10UY950F.OVRDSELA.OP;10UY951A.DACA.PV;10UY951B.DACA.PV;10UY951C.DACA.PV;;;;;;;;;;;;;;;;;
2168;;10FI901A.DACA.PV;10FI901B.DACA.PV;10FI902.DACA.PV;10FI904.DACA.PV;10FY901.DACA.PV;10FY902.DACA.PV;10HY903.DACA.PV;10PC910.PIDA.OP;10PC910.PIDA.PV;10PC910.PIDA.SP;10PC916A.PIDA.OP;10PC916A.PIDA.PV;10PC916A.PIDA.SP;10HY904.DACA.PV;10PC916A.DACA.PV;;;;;;;;;;;;;;;;;
2169;;10PC916B.PIDA.OP;10PC916B.PIDA.PV;10PC916B.PIDA.SP;10PDC913.PIDA.OP;10PDC913.PIDA.PV;10PDC913.PIDA.SP;10PDI923.DACA.PV;10PI915.DACA.PV;10PI921.DACA.PV;10PC952.DACA.PV;10PY910.OVRDSELA.OP;10PY916A.OVRDSELA.OP;10TI919.DACA.PV;10TI920.DACA.PV;10TI921.DACA.PV;10PY915.REGCALCA.OP;10PY916B.OVRDSELA.OP;10PDI912.PV;10PDI912A.PV;;;;;;;;;;;;;
2171;;10FV905A.HDYNVAL[4];10FV905B.HDYNVAL[4];10SI918.DACA.PV;10FC905.PIDA.OP;10FC905.PIDA.PV;10FC905.PIDA.SP;10FI905.DACA.PV;10FY905A.AUTOMANA.OP;10FY905B.AUTOMANA.OP;10FY905C.DACA.PV;10HC900.AUTOMANA.OP;10PC906.PIDA.OP;10PI936.DACA.PV;10PI943.PV;10PI946.DACA.PV;10PY906.AUTOMANA.OP;10TC925.PIDA.OP;10TC925.PIDA.PV;10TC925.PIDA.SP;10TC925.DACA.PV;10SYC1002AX.AUTOMANA.OP;;;;;;;;;;;
2172;;10TC930.PIDA.OP;10TC930.PIDA.PV;10TC930.PIDA.SP;10TI923.DACA.PV;10TI926.DACA.PV;10TC930.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
2173;;10LC012.PIDA.PV;10LI018.PV;10FC046.PIDA.PV;10FC047.PIDA.PV;10FC095.PIDA.PV;10FC018.PIDA.PV;10FC018.PIDA.OP;10LC014.PIDA.PV;10FC041.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;
2174;;10FFY807C.REGCALCA.OP;10FY805D.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2175;;10HC800.AUTOMANA.OP;10PC806.PIDA.OP;10PC806.PIDA.SP;10PC806.PIDA.PV;10PI807.PV;10TI801A.PV;10TI805B.PV;10TI805C.PV;;;;;;;;;;;;;;;;;;;;;;;;
2176;;10FI801A.DACA.PV;10FI801B.DACA.PV;10FI802.DACA.PV;10FI804.DACA.PV;10FY801.DACA.PV;10FY802.DACA.PV;10HY803.DACA.PV;10PC810.PIDA.OP;10PC810.PIDA.PV;10PC810.PIDA.SP;10PC816A.PIDA.OP;10PC816A.PIDA.PV;10PC816A.PIDA.SP;10HY804.DACA.PV;10PC816A.DACA.PV;;;;;;;;;;;;;;;;;
2177;;10PC816B.PIDA.OP;10PC816B.PIDA.PV;10PC816B.PIDA.SP;10PDC813.PIDA.OP;10PDC813.PIDA.PV;10PDC813.PIDA.SP;10PDI823.DACA.PV;10PI815.DACA.PV;10PI821.DACA.PV;10PC852.DACA.PV;10PY810.OVRDSELA.OP;10PY816A.OVRDSELA.OP;10TI819.DACA.PV;10TI820.DACA.PV;10TI821.DACA.PV;10PY815.REGCALCA.OP;10PY816B.OVRDSELA.OP;10PDI812.PV;10PDI812A.PV;;;;;;;;;;;;;
2178;;10UC900A.PIDA.OP;10UC900A.PIDA.PV;10UC900A.PIDA.SP;10UC900B.PIDA.OP;10UY850D.REGCALCA.OPEU;10UY852A.DACA.PV;10UY900A.REGCALCA.OPEU;10UY900B.REGCALCA.OPEU;10UY900E.OVRDSELA.OP;10UY900F.OVRDSELA.OP;10UY901A.DACA.PV;10UY901B.DACA.PV;10UY901C.DACA.PV;;;;;;;;;;;;;;;;;;;
2179;;10TI824.PV;10SI818.DACA.PV;10FC805.PIDA.OP;10FC805.PIDA.PV;10FC805.PIDA.SP;10FI805.DACA.PV;10FY805A.AUTOMANA.OP;10FY805B.AUTOMANA.OP;10FY805C.DACA.PV;10HC800.AUTOMANA.OP;10PC806.PIDA.OP;10PI836.DACA.PV;10PI843.PV;10PI846.DACA.PV;10PY806.AUTOMANA.OP;10TC825.PIDA.OP;10TC825.PIDA.PV;10TC825.PIDA.SP;10TC825.DACA.PV;10SYC1002BX.AUTOMANA.OP;;;;;;;;;;;;
2180;;10TC830.PIDA.OP;10TC830.PIDA.PV;10TC830.PIDA.SP;10TI823.DACA.PV;10TI826.DACA.PV;10TC830.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
2181;;10FC060.PIDA.OP;10FC060.PIDA.PV;10FC060.PIDA.SP;10FI001.DACA.PV;10FI059.DACA.PV;10FI100.DACA.PV;10FI112.DACA.PV;10FI114.DACA.PV;10FI118.DACA.PV;10FQ062.DACA.PV;10PC089.PIDA.OP;10PC089.PIDA.PV;10PC089.PIDA.SP;10PC091.PIDA.OP;10PC091.PIDA.PV;10PC091.PIDA.SP;10PI001.DACA.PV;10PI043.DACA.PV;10PI092.DACA.PV;10PI093.DACA.PV;10FQ118.DACA.PV;;;;;;;;;;;
2182;;10PI139.DACA.PV;10PI140.DACA.PV;10PI201.DACA.PV;10PI203.DACA.PV;10PI227.DACA.PV;10TC162.PIDA.OP;10TC162.PIDA.PV;10TC162.PIDA.SP;10TC176.PIDA.OP;10TC176.PIDA.PV;10TC176.PIDA.SP;10TI001.DACA.PV;10TI181.DACA.PV;10TI182.DACA.PV;10TI248.DACA.PV;10TI249.DACA.PV;10TI270.DACA.PV;;;;;;;;;;;;;;;
2183;;10UIQ119.DACA.PV;10UIQ119.DACB.PV;10TI271.DACA.PV;10UIQ120.DACA.PV;10UIQ120.DACB.PV;10TI272.DACA.PV;10UIQ121.DACA.PV;10UIQ121.DACB.PV;10TI273.DACA.PV;10UIQ122.DACA.PV;10UIQ122.DACB.PV;10TI276.DACA.PV;10UIQ123.DACA.PV;10UIQ123.DACB.PV;10TI279.DACA.PV;;;;;;;;;;;;;;;;;
2184;;10TI943.PV;10TI944.PV;10TI945.PV;10TI946.PV;10TI947.PV;10TI948.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
2185;;20FI237.DACA.PV;58AI024.DACA.PV;58AI025.DACA.PV;58FC016.PIDA.OP;58FC016.PIDA.PV;58FC016.PIDA.SP;58FC017.PIDA.OP;58FC017.PIDA.PV;58FC017.PIDA.SP;58FI019A.DACA.PV;58FI019B.DACA.PV;58FI020.DACA.PV;58PC060.PIDA.OP;58PC060.PIDA.PV;58PC060.PIDA.SP;58DT016A.DACA.PV;58DT017A.DACA.PV;58FC016.DACA.PV;58FC017.DACA.PV;58FC059.PIDA.PV;58FC059.PIDA.SP;58FC059.PIDA.OP;58FC059.DACA.PV;58PC060.DACA.PV;;;;;;;;
2188;;10TC129.PIDA.PV;10TC129.PIDA.SP;10TC129.PIDA.OP;10FC044.PIDA.PV;10FC044.PIDA.SP;10FC044.PIDA.OP;10TC131.PIDA.PV;10TC131.PIDA.SP;10TC131.PIDA.OP;10FC046.PIDA.PV;10FC046.PIDA.SP;10FC046.PIDA.OP;10TI128.DACA.PV;;;;;;;;;;;;;;;;;;;
2189;;10TI843.PV;10TI844.PV;10TI845.PV;10TI846.PV;10TI847.PV;10TI848.PV;10TI943.PV;10TI944.PV;10TI945.PV;10TI946.PV;10TI947.PV;10TI948.PV;;;;;;;;;;;;;;;;;;;;
2190;;10PI701A.DACA.PV;10PI701B.DACA.PV;10PI711A.DACA.PV;10PI711B.DACA.PV;10PI721A.DACA.PV;10PI721B.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
2191;;10PI731A.DACA.PV;10PI731B.DACA.PV;10PI741A.DACA.PV;10PI741B.DACA.PV;10TI735A.DACA.PV;10TI735B.DACA.PV;10TI746A.DACA.PV;10TI746B.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;
2192;;10PI751A.DACA.PV;10PI751B.DACA.PV;10PI761A.DACA.PV;10PI761B.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2193;;10PI705.DACA.PV;10PI707.DACA.PV;10PI715.DACA.PV;10PI717.DACA.PV;10TI770A2.PV;10TI770B2.PV;10TI772A2.PV;10TI772B2.PV;10TI775A2.PV;10TI775B2.PV;10TI777A2.PV;10TI777B2.PV;10TI779A2.PV;10TI779B2.PV;10TI781A2.PV;10TI781B2.PV;;;;;;;;;;;;;;;;
2194;;10PI725.DACA.PV;10PI727.DACA.PV;10PI735.DACA.PV;10PI737.DACA.PV;10TI784.DACA.PV;10TI786.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
2195;;10PI755.DACA.PV;10PI765.DACA.PV;10PI756.DACA.PV;10PI766.DACA.PV;10PI757.DACA.PV;10PI767.DACA.PV;10TI708.DACA.PV;10TI709.DACA.PV;10TI718.DACA.PV;10TI719.DACA.PV;10TI728.DACA.PV;10TI729.DACA.PV;10TI739.DACA.PV;10TI740.DACA.PV;10TI750.DACA.PV;10TI759.DACA.PV;10TI760.DACA.PV;;;;;;;;;;;;;;;
2196;;10PI746.DACA.PV;10PI748.DACA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2200;1000 P 6 BODA;10PDC193.DACA.PV;10TI161.DACA.PV;10TC173.DACA.PV;10TC175.DACA.PV;10FI109.DACA.PV;10FI108.DACA.PV;10PC184.PIDA.PV;10LI055.PV;;;;;;;;;;;;;;;;;;;;;;;;
2201;1000 СЕКЦИЯ. ВОЗДУХ КИП;10AI950A2.PV;10TI914.PV;10AI950C2.PV;10FI906.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2202;1000 СЕКЦИЯ. Dundykov chirc2;10LI015.PV;10TI805A.PV;10PDC193.DACA.PV;10LI014.DACA.PV;10LI027.DACA.PV;10LI029.DACA.PV;10LC010.PIDA.PV;10FC043.PIDA.PV;10LC048.PIDA.PV;10LI017.PV;10LC011.PIDA.PV;10FC044.PIDA.PV;10UIQ122.DACA.PV;10FC045.PIDA.PV;10TC121.PIDA.PV;10LI018.PV;10LC012.PIDA.PV;10FC046.PIDA.PV;10FI027.DACA.PV;10FI028.DACA.PV;10UIQ123.DACA.PV;10LI019.PV;10LC013.PIDA.PV;10FC048.PIDA.PV;10PI094.DACA.PV;10TI127.DACA.PV;10FI902.DACA.PV;10FI802.DACA.PV;10TI905A.PV;43FI402.DACA.PV;43PC452.PIDA.PV;43PI560.DACA.PV
2203;1000 СЕКЦИЯ. Dundykov VSA;10TC066.DACA.PV;10FC091.DACA.PV;10FI049.DACA.PV;10AI001.DACA.PV;10TI105.DACA.PV;10FC116.DACA.PV;10TI921.DACA.PV;10TI821.DACA.PV;10PI094.DACA.PV;10PI105.DACA.PV;10LI021.PV;10LC023.PIDA.PV;10PI921.DACA.PV;10PI821.DACA.PV;93TI174.DACA.PV;10SY139A.AUTOMANA.OP;10SY150A.AUTOMANA.OP;93FI051.DACA.PV;93PI105.DACA.PV;10FY906C.PV;43PI559.PV;10PC164.PIDA.PV;10FI806C.PV;10TC162.DACA.PV;10TI161.DACA.PV;10TC173.PIDA.PV;10LI037.PV;10TI271.DACA.PV;10TI001.DACA.PV;10LI055.PV;10TI157.DACA.PV;10LC034.PIDA.PV
2204;1000 СЕКЦИЯ. Dundykov PAR;10LI049.PV;10FC103.PIDA.PV;10LI008.PV;10FC021.PIDA.PV;10LI009.PV;10FC022.PIDA.PV;43PI068B.PV;43PC482.PIDA.PV;43PC482.PIDA.OP;;;;;;;;;;;;;;;;;;;;;;;
2205;1000 СЕКЦИЯ. Dundykov turbiny;10SI805.DACA.PV;10SI815.DACA.PV;10SI975.DACA.PV;10TI725.PV;10TI724.PV;10TI723.PV;10TI722.PV;10TI745.PV;10TI744.PV;10TI743.PV;10TI742.PV;10TI797B.PV;10TI797A.PV;10TI797A2.PV;10VI944Y.PV;10VI944X.PV;10VI943X.PV;10VI943Y.PV;10VI942X.PV;10VI942Y.PV;10VI941X.PV;10VI941Y.PV;10SI815.DACA.PV;10LI046.PV;10TI741.PV;10TI741A.PV;10TI742A.PV;10TI743A.PV;10TI797B2.PV;;;
2206;1000 P 9.2 OB 430 12 15;43LI113.PV;43PI113B.PV;43TC111.PIDA.PV;43TI113.PV;43LI114.PV;43PI114B.PV;43TC112.PIDA.PV;43TI114.PV;43LI065.PV;43TC045.PIDA.PV;43PDI401.DACA.PV;43PDI402.DACA.PV;43PDI403.DACA.PV;43PDI404.DACA.PV;43PDI405.DACA.PV;43PDI406.DACA.PV;43PDI413.DACA.PV;43PDI414.DACA.PV;43PDI409.DACA.PV;43PDI410.DACA.PV;43PDI415.DACA.PV;43PDI416.DACA.PV;43PDI407.DACA.PV;43PDI408.DACA.PV;43PDI411.DACA.PV;43PDI412.DACA.PV;;;;;;
2207;;10FI905.DACA.PV;10FI906.PV;10FC905.PIDA.PV;10PI943.PV;10PI907.PV;10PC906.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;;;;
2208;;10PC810.PIDA.PV;10PC810.PIDA.OP;10FI023.DACV.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2209;;10FC091.PIDA.PV;10FC035.PIDA.PV;10FC029.PIDA.PV;10FC048.PIDA.OP;10LC014.PIDA.PV;10LC013.PIDA.OP;10LC013.PIDA.PV;10LI019.PV;10FC048.PIDA.PV;;;;;;;;;;;;;;;;;;;;;;;
2210;;10PI917A.PV;10PI917B.PV;10PI919A.PV;10PI919B.PV;10PI817A.PV;10PI817B.PV;10PI819A.PV;10PI819B.PV;10PI811A.PV;10PI811B.PV;10PI911A.PV;10PI911B.PV;10PDI912.PV;10PI139.DACA.PV;;;;;;;;;;;;;;;;;;
2211;1000 СЕКЦИЯ. P-1001S NKO;10SI805.DACA.PV;10TI721.PV;10TI722.PV;10TI723.PV;10TI724.PV;10TI725.PV;10VI921X.PV;10VI921Y.PV;10VI922X.PV;10VI922Y.PV;10VI923X.PV;10VI923Y.PV;10VI924X.PV;10VI924Y.PV;10TI721A.PV;10TI722A.PV;10TI723A.PV;;;;;;;;;;;;;;;
2212;1000 СЕКЦИЯ. P-1002S NKO;10SI815.DACA.PV;10TI741.PV;10TI742.PV;10TI743.PV;10TI744.PV;10TI745.PV;10VI941X.PV;10VI941Y.PV;10VI942X.PV;10VI942Y.PV;10VI943X.PV;10VI943Y.PV;10VI944X.PV;10VI944Y.PV;;;;;;;;;;;;;;;;;;
2213;1000 СЕКЦИЯ. P-1040S NKO;10SI975.DACA.PV;10TI797A.PV;10TI797B.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2214;;10TI714.PV;10TI703.PV;10TI701.PV;10TI702.PV;10TI704.PV;10VI902X.PV;10VI902Y.PV;10VI901X.PV;10VI901Y.PV;10TI711.PV;10TI711A.PV;10TI714.PV;10TI713.PV;10TI712.PV;10TI711.PV;10VI912Y.PV;10VI912X.PV;10VI911X.PV;10VI911Y.PV;10TI701A.PV;10TI702A.PV;10TI703A.PV;10TI712.PV;10TI712A.PV;10TI713.PV;10TI713A.PV;;;;;;
2215;1000.P-1002A;10TI755A.DACA.PV;10TI755B.DACA.PV;10TI734.PV;10TI733.PV;10TI732.PV;10TI731.PV;10VI932X.PV;10VI932Y.PV;10VI931X.PV;10VI931Y.PV;10TI765A.DACA.PV;10TI765B.DACA.PV;10TI731A.PV;10TI732A.PV;10TI733A.PV;;;;;;;;;;;;;;;;;
2216;;10TI770B.PV;10TI770A.PV;10TI772B.PV;10TI772A.PV;10TI771.DACA.PV;10TI773.DACA.PV;10TI798.PV;10TI799.PV;10TI775B.PV;10TI775A.PV;10TI777B.PV;10TI777A.PV;10TI776.DACA.PV;10TI778.DACA.PV;10TI779A.PV;10TI779B.PV;10TI781A.PV;10TI781B.PV;10TI761A.PV;10TI762A.PV;10TI754.PV;10TI764.PV;10TI753.PV;10TI763.PV;10TI751.PV;10TI752.PV;10TI761.PV;10TI762.PV;10TI751A.PV;10TI752A.PV;10TI753A.PV;10TI763A.PV
2217;;10TI791B.PV;10TI791A.PV;10TI792B.PV;10TI792A.PV;10TI795B.PV;10TI795A.PV;10TI796A.PV;10TI796B.PV;10TI791A2.PV;10TI791B2.PV;10TI717A.PV;10TI792B2.PV;10TI795A2.PV;10TI795B2.PV;10TI796A2.PV;10TI749.PV;10TI749A.PV;10TI796B2.PV;10TI707.PV;10TI707A.PV;10TI717.PV;10TI717A.PV;10TI727.PV;10TI727A.PV;10TI738.PV;10TI738A.PV;10TI758.PV;10TI758A.PV;;;;
2218;;10TI793.PV;10TI794.PV;10TI783B.PV;10TI783A.PV;10TI785A.PV;10TI785B.PV;10TI787A.PV;10TI787B.PV;10TI789B.PV;10TI789A.PV;10TI783A2.PV;10TI783B2.PV;10TI785A2.PV;10TI785B2.PV;10TI943.PV;10TI944.PV;10TI945.PV;10TI946.PV;10TI947.PV;10TI948.PV;10TI843.PV;10TI844.PV;10TI845.PV;10TI846.PV;10TI847.PV;10TI848.PV;10TI787A2.PV;10TI787B2.PV;10TI789A2.PV;10TI789B2.PV;;
2219;43015.NKO1;43TI909B.PV;43TI911B.PV;43TI909A.PV;43TI911A.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2220;43015.NKO2;43TI901B.PV;43TI903B.PV;43TI903B.PV;43TI901A.PV;43TI903A.PV;43TI905B.PV;43TI913B.PV;43TI915B.PV;43TI905A.PV;43TI907A.PV;43TI913A.PV;43TI915A.PV;;;;;;;;;;;;;;;;;;;;
2221;43015.NKO3;10PC165.PIDA.PV;10PI253.DACA.PV;43PC498.PIDA.PV;43TI971.PV;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2222;1000 P 8  T1001 B;10PDI071.DACA.PV;10PDI072.DACA.PV;10PDI073.DACA.PV;10PDI074.DACA.PV;10PDI075.DACA.PV;10PDI076.DACA.PV;10PDI080.DACA.PV;10FI061.DACA.PV;10FI093.DACA.PV;10FC091.PIDA.PV;10UIQ055.DACA.PV;10FI054.DACA.PV;10FC060.PIDA.PV;10FQ062.DACA.PV;10TC162.PIDA.PV;10TI181.DACA.PV;10TC179.PIDA.PV;10TI182.DACA.PV;10TC176.PIDA.PV;10TI183.DACA.PV;10TI154.DACA.PV;10TI158.DACA.PV;10PI094.DACA.PV;10LC023.PIDA.PV;10LC020.PIDA.PV;10LI027.DACA.PV;10LI029.DACA.PV;;;;;
2223;contr_param;30LI001A.DACA.PV;30FI017.PV;30FI018.PV;30FI019.PV;30FC016.DACA.PV;30TI905A.PV;30PI907.PV;30LI007B.DACA.PV;30FC002.PIDA.PV;30TC031.PIDA.PV;30PC916B.PIDA.PV;30PY916A.OVRDSELA.OP;30FC016.PIDA.OP;30TC031.PIDA.PV;30LC019.PIDA.OP;;;;;;;;;;;;;;;;;
2225;1000 Anan'ev.N3M_CbIPb9I;10PI105.DACA.PV;10PC077.PIDA.PV;10TI024.DACA.PV;43UI061_6.PV;10FI806C.PV;10FY906C.PV;10UIQ123.DACA.PV;10FI067.DACA.PV;10LC010.PIDA.OP;10FI061C.DACA.PV;10FI093C.DACA.PV;10LC014.DACA.PV;10EI002A.DACA.PV;10SI815.DACA.PV;10TI125.DACA.PV;10TC129.PIDA.PV;10TC131.DACA.PV;10FI114.DACA.PV;10FI113.DACA.PV;10TI271.DACA.PV;10PI045.DACA.PV;10EI001A.DACA.PV;10EI001B.DACA.PV;10FC046.PIDA.OP;10PC089.PIDA.PV;10PI086.DACA.PV;10FC018.PIDA.OP;10FC007.PIDA.OP;10FC008.PIDA.OP;10UIQ122.DACA.PV;10PC016.PIDA.PV;
2226;1000.NORM_REZHYMA1;10PI001.DACA.PV;10TI001.DACA.PV;10FQ001A.DACA.PV;10FQ001B.DACA.PV;10TI010.DACA.PV;10TI011.DACA.PV;10PI017.DACA.PV;10LI002A.DACA.PV;10LI002B.DACA.PV;10TI054.DACA.PV;10TI055.DACA.PV;10PC077.PIDA.PV;10TC122.PIDA.PV;10PDI079A.DACA.PV;10AI050.DACA.PV;10TI124.DACA.PV;10TI123.DACA.PV;10FC043.PIDA.PV;10LC010.PIDA.PV;10PDI079B.DACA.PV;10PDI075.DACA.PV;10TI126.DACA.PV;10TC129.PIDA.PV;10FC044.PIDA.PV;10LC011.PIDA.PV;10PDI079C.DACA.PV;10PDI074.DACA.PV;10FC045.PIDA.PV;10PDI079D.DACA.PV;10PDI076.DACA.PV;;
2227;1000.NORM_REZHYMA2;10TI127.DACA.PV;10TC131.PIDA.PV;10FC046.PIDA.PV;10FC095.PIDA.PV;10LC012.PIDA.PV;10PDI079E.DACA.PV;10PDI071.DACA.PV;10TI132.DACA.PV;10FC047.PIDA.PV;10PDI079F.DACA.PV;10PDI072.DACA.PV;10TI136.DACA.PV;10TI133.DACA.PV;10FC048.PIDA.PV;10FI049.DACA.PV;10LC013.PIDA.PV;10PDI079G.DACA.PV;10PDI073.DACA.PV;10TI135.DACA.PV;10FI050.DACA.PV;10PDI079H.DACA.PV;10TC121.PIDA.PV;10TC066.PIDA.PV;10FI042.DACA.PV;10LC014.PIDA.PV;10PDI080.DACA.PV;10FI061C.DACA.PV;10FI093C.DACA.PV;;;;
2228;1000.NORM_REZHYMA3;10FC091.PIDA.PV;10FI054.DACA.PV;10UIQ055.DACA.PV;10FC060.PIDA.PV;10FQ062.DACA.PV;10TI181.DACA.PV;10TC179.PIDA.PV;10TI182.DACA.PV;10TC176.PIDA.PV;10TC162.PIDA.PV;10TI183.DACA.PV;10TI154.DACA.PV;10TI158.DACA.PV;10PI094.DACA.PV;10LC023.PIDA.PV;10LC020.PIDA.PV;10LI027.DACA.PV;10LI029.DACA.PV;10FC031A.PIDA.PV;10FC031B.PIDA.PV;10FC031C.PIDA.PV;10FC031D.PIDA.PV;10FC031E.PIDA.PV;10FC031F.PIDA.PV;10FC031G.PIDA.PV;10FC031H.PIDA.PV;10TI074A.DACA.PV;10TI074B.DACA.PV;;;;
2229;1000.NORM_REZHYMA4;10TI091A.DACA.PV;10TI091B.DACA.PV;10FC037A.PIDA.PV;10FC037B.PIDA.PV;10FC037C.PIDA.PV;10FC037D.PIDA.PV;10FC037E.PIDA.PV;10FC037F.PIDA.PV;10FC037G.PIDA.PV;10FC037H.PIDA.PV;10FC038A.PIDA.PV;10FC038B.PIDA.PV;10FC038C.PIDA.PV;10FC038D.PIDA.PV;10FC038E.PIDA.PV;10FC038F.PIDA.PV;10FC038G.PIDA.PV;10FC038H.PIDA.PV;10FC032A.PIDA.PV;10FC032B.PIDA.PV;10FC032C.PIDA.PV;10FC032D.PIDA.PV;10FC032E.PIDA.PV;10FC032F.PIDA.PV;10FC032G.PIDA.PV;10FC032H.PIDA.PV;;;;;;
2230;1000.NORM_REZHYMA5;10PI245A.DACA.PV;10PI245B.DACA.PV;10PI245C.DACA.PV;10PI245D.DACA.PV;10PI245E.DACA.PV;10PI245F.DACA.PV;10PI245G.DACA.PV;10PI245H.DACA.PV;10PI246A.DACA.PV;10PI246B.DACA.PV;10PI246C.DACA.PV;10PI246D.DACA.PV;10PI246E.DACA.PV;10PI246F.DACA.PV;10PI246G.DACA.PV;10PI246H.DACA.PV;10PI247A.DACA.PV;10PI247B.DACA.PV;10PI247C.DACA.PV;10PI247D.DACA.PV;10PI247E.DACA.PV;10PI247F.DACA.PV;10PI247G.DACA.PV;10PI247H.DACA.PV;10PI248A.DACA.PV;10PI248B.DACA.PV;10PI248C.DACA.PV;10PI248D.DACA.PV;10PI248E.DACA.PV;10PI248F.DACA.PV;10PI248G.DACA.PV;10PI248H.DACA.PV
2231;1000 Anan'ev.N3M_CbIPb9I_2;10FC043.PIDA.PV;10TI123.DACA.PV;10TI124.DACA.PV;10LC010.PIDA.OP;10TC129.PIDA.PV;10FC044.PIDA.PV;10TC016.PIDA.PV;10TI126.DACA.PV;10FI061C.DACA.PV;10TC131.PIDA.PV;10FC046.PIDA.PV;10TC039.PIDA.PV;10TI127.DACA.PV;10FI093C.DACA.PV;10TI133.DACA.PV;10FC047.PIDA.PV;10TI132.DACA.PV;10FI056.DACA.PV;10FC116.PIDA.PV;10FC041.PIDA.PV;10PDI079K.DACA.PV;10FI001.DACA.PV;10TI135.DACA.PV;;;;;;;;;
2232;1000.NORM_REZHYMA6;10TI914.PV;10TI814.PV;10PC906.PIDA.PV;10PC806.PIDA.PV;10AI950A2.PV;10AI950B2.PV;10AI950C2.PV;10AI900A2.PV;10AI900B2.PV;10AI900C2.PV;10PC916A.PIDA.PV;10PC816A.PIDA.PV;10PC952.DACA.PV;10PC852.DACA.PV;10PI943.PV;10PI843.PV;10PC910.PIDA.PV;10PC810.PIDA.PV;10PDC913.PIDA.PV;10PDC813.PIDA.PV;10TC201.PIDA.PV;10LI030.PV;10TI920.DACA.PV;10TI820.DACA.PV;10PI227.DACA.PV;10TI270.DACA.PV;10FI118.DACA.PV;10UIQ120.DACA.PV;10UIQ119.DACA.PV;10UIQ121.DACA.PV;;
2233;1000.NORM_REZHYMA7;10PI201.DACA.PV;10PI202.DACA.PV;10PI203.DACA.PV;10TI249.DACA.PV;10TC266.PIDA.PV;10TC284.PIDA.PV;10FC041.PIDA.PV;10FI114.DACA.PV;10FI115.DACA.PV;10UIQ111.DACA.PV;10UIQ122.DACA.PV;10UIQ123.DACA.PV;10LI057.DACA.PV;10PDC193.PIDA.PV;10TI161.DACA.PV;10TC173.PIDA.PV;10TC175.PIDA.PV;10TC240A.PIDA.PV;10TC240B.PIDA.PV;10TI797A.PV;10TI797B.PV;10TI795A.PV;10TI795B.PV;10TI796A.PV;10TI796B.PV;10FI109.DACA.PV;10FI108.DACA.PV;10PC184.PIDA.PV;10TI237.DACA.PV;10LI055.PV;;
2234;1000.NORM_REZHYMA8;10PI036.DACA.PV;10PI047.DACA.PV;10PI037.DACA.PV;10PI048.DACA.PV;10PI039.DACA.PV;10PI050.DACA.PV;10TI084.DACA.PV;10TI101.DACA.PV;10TI085.DACA.PV;10TI102.DACA.PV;10TI086.DACA.PV;10TI103.DACA.PV;10TI087.DACA.PV;10TI104.DACA.PV;10TI234.DACA.PV;10TI791A.PV;10TI791B.PV;10TI792A.PV;10TI792B.PV;10FC021.PIDA.PV;10FC022.PIDA.PV;10FI023.DACA.PV;10FI024.DACA.PV;10FI033.DACA.PV;10FI039.DACA.PV;10FI034.DACA.PV;10FI040.DACA.PV;10FI064.DACA.PV;10FI065.DACA.PV;10FC103.PIDA.PV;10FI104.DACA.PV;10FC106.PIDA.PV
