ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30XY558B;PLC=601/FLD=564(FLD);DO;Inside pumphouse, in axes 9-10/Б-В;;;;;
30XY552B;PLC=595/FLD=552(FLD);DO;Northern entrance to compressor room;;;;;
30GT508;PLC=11353/FLD=320(FLD);AI;Near P-3001S;GI508;M;Показания;#ScaleN(0,100,361,3439);
FGS_301_1.30HS242;PLC=7/FLD=1000(FSC);DI;Ack SC H&B (3000) (FDAP-C);;;;;
FGS_301_1.30XL502_2;PLC=25/FLD=604(FSC);DO;Fl.GD act. in Heat exch -GDAP-C,F,G lamp;;;;;
30XY562A;PLC=576/FLD=1010(FLD);DO;Overpass, near 7-С19;;;;;
30XY553A;PLC=628/FLD=552(FLD);DO;Inside compressor room;;;;;
30YT007;PLC=11113/FLD=166(FLD);AI;У насосов P-3012A/S (в осях1/В);;;;#=83;
30XY581A;PLC=548/FLD=190(FLD);DO;Снаружи здания(в осях 8/В);;;;;
30XS178;PLC=500/FLD=912(MCC);DI;"AВ3002   ""Включен"" (RUNNING)";;;;;
30HS124B1;PLC=484/FLD=908(FLD);DI;Stop В2…В5 (Stop at Fire);30HS124B;HS->RSU;;;
30XS176C;PLC=499/FLD=902(MCC);DI;"AВ3001 ""Готов к пуску"" (HEALTHY)";;;;#=1;
30GT503;PLC=11237/FLD=460(FLD);AI;Between P-3007A/S;GI503;M;Показания;#ScaleN(0,100,525,3439);
30HY176A;PLC=526/FLD=902(MCC);DO;"AВ3001 ""ПУСК"" (START)";;;;;
FGS_301_1.30XL501_2;PLC=23/FLD=602(FSC);DO;Fl.GD act. in Col -GDAP-C,F,G lamp;;;;;
30XS179;PLC=503/FLD=914(MCC);DI;"AВ3003   ""Включен"" (RUNNING)";;;;;
30XY537A;PLC=617/FLD=530(FLD);DO;Near С-3002А (Н-3001);;;;;
30XY536A;PLC=616/FLD=530(FLD);DO;Overpass, near 7-С19;;;;;
FGS_301_1.FGS_001_1_SnS;PLC=0/FLD=60(FSC);DI;SafeNet LINK STATUS;;;;;
30XY573A;PLC=540/FLD=204(FLD);DO;Снаружи здания(в осях 2/В);;;;;
FGS_301_1.10HS367A_ENB;PLC=2/FLD=105(FSC);DI;FIRE MOS 3000 ENABLE;;;;;
30GT547;PLC=11357/FLD=360(FLD);AI;Near Р-3001А;GI547;M;Показания;#ScaleN(0,100,361,3439);
30GT502;PLC=11389/FLD=314(FLD);AI;Between P-3006A/S;GI502;M;Показания;#ScaleN(0,100,361,3439);
30HS1007;PLC=11049/FLD=122(FLD);AI;30HV022 Open;;;;#=525;
30HS1004;PLC=11037/FLD=116(FLD);AI;У входа в здание(в осях 8/В);;;;#=525;
