ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
00XS301E01P02;PLC=1311/FLD=18(CAB);DI;IB301 ESD-01 ALARM PS 02;;;;;
30XZSC096;PLC=1406/FLD=448(FLD);DI;"XV-096 ""CLOSED""";XV-096;M;Закрыт;;
30XSC093C;PLC=0/FLD=249(FLD);DI;30XV093 READY TO CLOSE;XV-093;M;Открыт;;
30XSC030;PLC=0/FLD=446(MOV);DO;"XV-030 ""CLOSE""";XV-030;M;Закрыть;;
30LSLL983;PLC=1371/FLD=1420(FLD);DI;C-3001S LEV OIL RES CYL;C-3001S-V7;M;Уровень;#(X>20);
30VSHH975A;PLC=1305/FLD=1430(BNS);DI;C-3001S VIBR CRANK VERT;;;;#=1;
30XY079;PLC=1505/FLD=438(FLD);DO;RAW STUFF TO H-3001;XV-079;M;Соленоид;;
30HS030AB;PLC=1329/FLD=440(FLD);DI;CLS XV030-096/ P-3005A/S;30HS030A;HS->RSU;;#0;
30XSC023;PLC=0/FLD=257(MOV);DO;"XV-023 ""CLOSE""";XV-023;M;Закрыть;;
30XA939B;PLC=1463/FLD=1168(LCP);DO;START UP FAILURE;30XA939B;RSU->HS;;;
30XL705KB_ON_10;PLC=5/FLD=202(FSC);DO;ESD MOS ACT AREA C-3001S;;;;;
30HS0103B1;PLC=1319/FLD=458(PNL);DI;30XV103 OPEN;30HS103B;HS->RSU;;#0;
30PI911A;PLC=36/FLD=500(FLD);AI;FUEL OIL SUPPLY;P910;M;Показания;;
30LSLL883A;PLC=10451/FLD=1202(FLD);AI;C-3001A LEV OIL RES CYL;C-3001A-V7;M;Уровень;;
30XL907B;PLC=1483/FLD=1176(LCP);DO;BLEED VALVE OPEN;30XL907B;RSU->HS;;;
30TI884F;PLC=10205/FLD=1421(FLD);AI;C-3001S  MAIN BEARING DE;C-3001S-МС;M;Температура_6;;
30HS123AB;PLC=1348/FLD=236(FLD);DI;SD AT FIRE P-3025 - T.05;30HS123A;HS->RSU;;#0;
30XY870;PLC=1556/FLD=1454(MCC);DO;C-3001S CYL.OIL PM2 TRIP;;;;;
30XY032;PLC=1538/FLD=454(MCC);DO;P-3005S-STOP TECH FAIL;Р-3005S;M;Стоп2;#0;
30XY861;PLC=1554/FLD=1454(MCC);DO;CM-3001S TRIP;;;;;
30TI857B;PLC=10197/FLD=355(FLD);AI;P-3013 S THRUST BEARING;Р-3013S;M;Температура_3;;
30XL908B;PLC=1485/FLD=1176(LCP);DO;2ND BLOCK VALVE CLOSE;30XL908B;RSU->HS;;;
30XSC094;PLC=0/FLD=258(MOV);DO;"XV-094 ""CLOSE""";XV-094;M;Закрыть;;
30XL023B_ON;PLC=11/FLD=255(FSC);DO;CLS XV023,094/ P-3003A/S;;;;;
